GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter
Kcnd3,KCND3,Munji,NA
Kcne4,KCNE4,Daneman,liver_and_lung
Kcnj2,KCNJ2,Munji,NA
Kcnj8,KCNJ8,Daneman,liver_and_lung
Kcnk6,KCNK6,Daneman,liver_only
Kcnq1,KCNQ1,Daneman,lung_only
Kcp,KCP,Munji,NA
Kctd12,KCTD12,Daneman,liver_only
Kctd17,KCTD17,Daneman,lung_only
Kdelr2,KDELR2,Daneman,lung_only
Kdm5b,KDM5B,Munji,NA
4930523C07Rik,KIAA0040,Daneman,liver_only
2810417H13Rik,KIAA0101,Daneman,lung_only
4933426M11Rik,KIAA0247,Daneman,liver_only
2810403A07Rik,KIAA0907,Daneman,liver_only
D930015E06Rik,KIAA0922,Daneman,lung_only
9430020K01Rik,KIAA1462,Both,liver_only
2810474O19Rik,KIAA1551,Daneman,liver_only
Kif16b,KIF16B,Daneman,liver_only
Kif1c,KIF1C,Munji,NA
Kif23,KIF23,Munji,NA
Kif26a,KIF26A,Munji,NA
Kif3b,KIF3B,Munji,NA
Kifc3,KIFC3,Daneman,liver_only
Kit,KIT,Daneman,lung_only
Kitl,KITLG,Daneman,liver_only
Klf11,KLF11,Munji,NA
Klf12,KLF12,Both,liver_only
Klf13,KLF13,Munji,NA
Klf4,KLF4,Daneman,liver_only
Klf7,KLF7,Daneman,liver_only
Klf9,KLF9,Daneman,liver_only
Klhdc3,KLHDC3,Daneman,lung_only
Klhl2,KLHL2,Daneman,liver_only
Klhl5,KLHL5,Daneman,liver_only
Kpna2,KPNA2,Daneman,lung_only
Kpnb1,KPNB1,Daneman,lung_only
Krt222,KRT222,Munji,NA
Lactb,LACTB,Munji,NA
Lama2,LAMA2,Daneman,liver_and_lung
Lama4,LAMA4,Daneman,lung_only
Lama5,LAMA5,Daneman,liver_only
Lamc3,LAMC3,Munji,NA
Lancl3,LANCL3,Daneman,liver_only
Laptm4b,LAPTM4B,Daneman,lung_only
Laptm5,LAPTM5,Daneman,lung_only
Lasp1,LASP1,Daneman,liver_only
Lats2,LATS2,Daneman,liver_only
Layn,LAYN,Munji,NA
Lcp1,LCP1,Daneman,lung_only
Ldb2,LDB2,Daneman,lung_only
Ldlrad3,LDLRAD3,Munji,NA
Lef1,LEF1,Munji,NA
Leprotl1,LEPROTL1,Daneman,lung_only
Lgals1,LGALS1,Daneman,liver_and_lung
Lgals3bp,LGALS3BP,Daneman,liver_only
Lgals7,LGALS7,Daneman,liver_and_lung
Lgals7,LGALS7B,Daneman,liver_and_lung
Lgmn,LGMN,Daneman,lung_only
Lgr4,LGR4,Munji,NA
Lhfp,LHFP,Daneman,liver_and_lung
Lifr,LIFR,Daneman,liver_only
Lims2,LIMS2,Daneman,liver_only
Lin7a,LIN7A,Daneman,liver_and_lung
Litaf,LITAF,Daneman,lung_only
Lmbr1,LMBR1,Daneman,lung_only
Lmcd1,LMCD1,Daneman,liver_only
Lmo7,LMO7,Daneman,liver_only
Lnpep,LNPEP,Daneman,liver_only
Lnx2,LNX2,Both,liver_only
6330403K07Rik,LOC728392,Munji,NA
Lphn1,LPHN1,Daneman,lung_only
Lphn3,LPHN3,Daneman,lung_only
Lpp,LPP,Daneman,liver_and_lung
Lrch1,LRCH1,Daneman,liver_only
Lrp1,LRP1,Daneman,liver_and_lung
Lrp6,LRP6,Munji,NA
Lrp8,LRP8,Munji,NA
Lrrc47,LRRC47,Munji,NA
Lrrc49,LRRC49,Both,liver_only
Lrrk1,LRRK1,Daneman,liver_only
Lrrn3,LRRN3,Munji,NA
Lsm4,LSM4,Daneman,lung_only
Lsr,LSR,Munji,NA
Ltbp3,LTBP3,Daneman,liver_and_lung
Ltbp4,LTBP4,Daneman,liver_only
Ltbr,LTBR,Daneman,lung_only
Luc7l2,LUC7L2,Daneman,liver_and_lung
Lxn,LXN,Daneman,lung_only
Ly6e,LY6E,Daneman,liver_only
Ly75,LY75,Both,lung_only
Ly96,LY96,Daneman,lung_only
Lyn,LYN,Daneman,lung_only
Lynx1,LYNX1,Daneman,liver_only
Lysmd2,LYSMD2,Daneman,liver_only
Lzts1,LZTS1,Munji,NA
M6pr,M6PR,Daneman,lung_only
Mad2l1,MAD2L1,Daneman,lung_only
Maged2,MAGED2,Daneman,lung_only
Mal,MAL,Daneman,liver_only
Man1a,MAN1A1,Daneman,lung_only
Man1c1,MAN1C1,Daneman,lung_only
Maoa,MAOA,Munji,NA
Maob,MAOB,Both,liver_only
Map2k5,MAP2K5,Daneman,lung_only
Map4k4,MAP4K4,Daneman,lung_only
Map4k5,MAP4K5,Daneman,lung_only
Mapk11,MAPK11,Daneman,lung_only
Mapk6,MAPK6,Daneman,lung_only
Mapkbp1,MAPKBP1,Daneman,lung_only
Marcksl1,MARCKSL1,Daneman,lung_only
Marveld1,MARVELD1,Daneman,liver_only
Mast4,MAST4,Daneman,liver_only
Mat2a,MAT2A,Daneman,liver_only
Max,MAX,Munji,NA
Mbd1,MBD1,Daneman,liver_and_lung
Mboat1,MBOAT1,Munji,NA
Mbp,MBP,Daneman,liver_only
Mbtd1,MBTD1,Daneman,lung_only
Mcc,MCC,Daneman,liver_only
Mcf2l,MCF2L,Both,liver_only
Mcl1,MCL1,Daneman,liver_only
Mcm2,MCM2,Daneman,lung_only
Mcm3,MCM3,Daneman,lung_only
Mcm5,MCM5,Daneman,lung_only
Mcm7,MCM7,Daneman,lung_only
Mdh1,MDH1,Daneman,liver_and_lung
Mdk,MDK,Daneman,lung_only
Mecp2,MECP2,Daneman,liver_only
Meox1,MEOX1,Daneman,lung_only
Mertk,MERTK,Daneman,liver_only
Mest,MEST,Daneman,lung_only
Metap2,METAP2,Daneman,lung_only
Mfap3l,MFAP3L,Daneman,lung_only
Mfhas1,MFHAS1,Munji,NA
Mfsd2a,MFSD2A,Munji,NA
Mfsd4,MFSD4,Munji,NA
Mgp,MGP,Daneman,liver_only
Mgst1,MGST1,Daneman,liver_only
Mier1,MIER1,Daneman,liver_only
Mif,MIF,Daneman,lung_only
Mif4gd,MIF4GD,Munji,NA
Mink1,MINK1,Munji,NA
Minpp1,MINPP1,Daneman,liver_and_lung
Mipol1,MIPOL1,Munji,NA
Mki67,MKI67,Daneman,lung_only
Mkl2,MKL2,Both,liver_only
Mkrn1,MKRN1,Daneman,liver_only
Mllt11,MLLT11,Munji,NA
Mmd,MMD,Daneman,lung_only
Mmp15,MMP15,Daneman,lung_only
Mmp2,MMP2,Daneman,lung_only
Mmp23,MMP23B,Munji,NA
Mmp25,MMP25,Munji,NA
Mmrn1,MMRN1,Daneman,lung_only
Mob3b,MOB3B,Munji,NA
Morc3,MORC3,Daneman,liver_only
Morf4l2,MORF4L2,Daneman,lung_only
Mospd2,MOSPD2,Daneman,liver_only
Mrpl2,MRPL2,Daneman,lung_only
Mrpl20,MRPL20,Daneman,lung_only
Mrpl27,MRPL27,Daneman,lung_only
Mrp63,MRPL57,Daneman,lung_only
Mrps28,MRPS28,Daneman,lung_only
Mta1,MTA1,Munji,NA
Mtch1,MTCH1,Daneman,lung_only
Mtfr1,MTFR1,Daneman,liver_only
Mtmr6,MTMR6,Munji,NA
Mtmr9,MTMR9,Daneman,liver_only
Mtus1,MTUS1,Daneman,liver_only
Mtx2,MTX2,Daneman,lung_only
Murc,MURC,Munji,NA
Mvp,MVP,Daneman,liver_only
Mxd3,MXD3,Munji,NA
Mxra8,MXRA8,Daneman,lung_only
Myct1,MYCT1,Daneman,lung_only
Myh10,MYH10,Daneman,lung_only
Myl9,MYL9,Daneman,liver_and_lung
Mylk,MYLK,Daneman,liver_and_lung
Myo18a,MYO18A,Daneman,lung_only
Myo1b,MYO1B,Daneman,liver_and_lung
Myo1d,MYO1D,Daneman,liver_only
Myrip,MYRIP,Daneman,liver_only
Naalad2,NAALAD2,Daneman,liver_and_lung
Nacc1,NACC1,Munji,NA
Nanos1,NANOS1,Munji,NA
Nap1l1,NAP1L1,Daneman,lung_only
Nap1l3,NAP1L3,Daneman,liver_only
Napepld,NAPEPLD,Munji,NA
Narf,NARF,Munji,NA
Narg2,NARG2,Daneman,liver_only
Nasp,NASP,Daneman,lung_only
Cml1,NAT8B,Daneman,liver_only
Nav2,NAV2,Munji,NA
Nbeal2,NBEAL2,Daneman,liver_only
Ncl,NCL,Daneman,lung_only
Ncoa1,NCOA1,Munji,NA
Nde1,NDE1,Daneman,liver_and_lung
Ndel1,NDEL1,Daneman,liver_only
Ndfip1,NDFIP1,Daneman,lung_only
Ndn,NDN,Daneman,lung_only
Ndrg1,NDRG1,Both,liver_only
Ndst1,NDST1,Daneman,lung_only
Ndufa11,NDUFA11,Daneman,lung_only
Ndufb5,NDUFB5,Daneman,lung_only
Ndufs2,NDUFS2,Daneman,lung_only
Ndufs4,NDUFS4,Daneman,lung_only
Ndufv1,NDUFV1,Daneman,lung_only
Necap2,NECAP2,Daneman,lung_only
Nedd9,NEDD9,Daneman,liver_only
Nek1,NEK1,Daneman,liver_only
Nek3,NEK3,Munji,NA
Nek6,NEK6,Daneman,lung_only
Nek7,NEK7,Daneman,liver_only
Net1,NET1,Munji,NA
Neurl2,NEURL2,Munji,NA
Nfatc1,NFATC1,Daneman,liver_only
Nfatc2ip,NFATC2IP,Munji,NA
Nfib,NFIB,Daneman,liver_only
Nfic,NFIC,Munji,NA
Nfix,NFIX,Daneman,liver_only
Ngrn,NGRN,Daneman,liver_only
Nhsl1,NHSL1,Munji,NA
Nid1,NID1,Daneman,liver_and_lung
Nid2,NID2,Daneman,lung_only
Nipa2,NIPA2,Daneman,lung_only
Nme1,NME1,Daneman,lung_only
Nomo1,NOMO1,Both,lung_only
Nomo1,NOMO2,Both,lung_only
Nomo1,NOMO3,Both,lung_only
Notch3,NOTCH3,Daneman,liver_and_lung
Notum,NOTUM,Munji,NA
Nov,NOV,Daneman,liver_only
Npl,NPL,Daneman,lung_only
Npm1,NPM1,Daneman,lung_only
Npnt,NPNT,Daneman,lung_only
Npr2,NPR2,Daneman,liver_only
Nr1d1,NR1D1,Daneman,liver_only
Nr2f1,NR2F1,Daneman,liver_and_lung
Nr2f2,NR2F2,Daneman,liver_and_lung
Nr2f6,NR2F6,Daneman,lung_only
Nr3c1,NR3C1,Daneman,liver_only
Nr4a1,NR4A1,Munji,NA
Nrarp,NRARP,Daneman,lung_only
Nrip1,NRIP1,Daneman,lung_only
Nrp2,NRP2,Daneman,lung_only
Nsmce1,NSMCE1,Daneman,lung_only
Nsun5,NSUN5,Munji,NA
Nt5c2,NT5C2,Both,liver_only
Ntn1,NTN1,Daneman,liver_and_lung
Ntn4,NTN4,Daneman,liver_only
Nubpl,NUBPL,Daneman,lung_only
Nudt12,NUDT12,Munji,NA
Nudt21,NUDT21,Daneman,lung_only
Nup210,NUP210,Daneman,lung_only
Nup98,NUP98,Daneman,liver_only
Oas1a,OAS1,Daneman,liver_only
Oaz1,OAZ1,Daneman,lung_only
Ocln,OCLN,Munji,NA
Ogn,OGN,Daneman,liver_and_lung
Ogt,OGT,Daneman,liver_only
Olfm1,OLFM1,Daneman,lung_only
Oraov1,ORAOV1,Daneman,liver_only
Osbpl1a,OSBPL1A,Both,liver_only
Osbpl2,OSBPL2,Daneman,liver_only
Osbpl9,OSBPL9,Daneman,liver_only
Otud1,OTUD1,Daneman,liver_only
Otud7b,OTUD7B,Munji,NA
Oxa1l,OXA1L,Daneman,lung_only
Oxr1,OXR1,Daneman,liver_only
P2rx4,P2RX4,Daneman,liver_only
P2ry14,P2RY14,Daneman,liver_and_lung
P4ha1,P4HA1,Daneman,liver_and_lung
Pacsin3,PACSIN3,Daneman,liver_only
Palm,PALM,Daneman,liver_only
Palmd,PALMD,Munji,NA
Paqr5,PAQR5,Both,liver_only
Pard6g,PARD6G,Daneman,lung_only
Parp12,PARP12,Daneman,liver_only
Parp14,PARP14,Daneman,liver_only
Parp9,PARP9,Daneman,liver_only
Parva,PARVA,Daneman,liver_and_lung
Parvb,PARVB,Munji,NA
Patz1,PATZ1,Munji,NA
Pbx1,PBX1,Daneman,liver_only
Pcx,PC,Both,lung_only
Pcca,PCCA,Munji,NA
Pcdh12,PCDH12,Daneman,lung_only
Pcdh17,PCDH17,Daneman,lung_only
Pcdh19,PCDH19,Munji,NA
Pcgf5,PCGF5,Daneman,liver_only
Pcmtd1,PCMTD1,Munji,NA
Pcmtd2,PCMTD2,Daneman,liver_only
Pcolce,PCOLCE,Daneman,liver_and_lung
Pde2a,PDE2A,Daneman,liver_only
Pde3b,PDE3B,Daneman,lung_only
Pde4b,PDE4B,Daneman,lung_only
Pde8b,PDE8B,Daneman,liver_and_lung
Pdgfrb,PDGFRB,Daneman,liver_and_lung
Pdia3,PDIA3,Daneman,lung_only
Pdik1l,PDIK1L,Daneman,liver_only
Pdk2,PDK2,Munji,NA
Pdlim5,PDLIM5,Daneman,liver_only
Pdlim7,PDLIM7,Daneman,lung_only
Pdxk,PDXK,Both,liver_only
Per1,PER1,Munji,NA
Perp,PERP,Daneman,liver_and_lung
Pfkfb3,PFKFB3,Daneman,lung_only
Pfkp,PFKP,Daneman,lung_only
Pfn1,PFN1,Daneman,lung_only
Pgd,PGD,Daneman,lung_only
Pglyrp1,PGLYRP1,Munji,NA
Pgm2,PGM1,Daneman,lung_only
Pgm1,PGM2,Daneman,lung_only
Phactr1,PHACTR1,Daneman,liver_only
Phactr4,PHACTR4,Daneman,liver_only
Phb,PHB,Daneman,lung_only
Phb2,PHB2,Daneman,lung_only
Phc3,PHC3,Daneman,liver_only
Phf2,PHF2,Munji,NA
Phf20,PHF20,Daneman,liver_only
Phgdh,PHGDH,Daneman,lung_only
Phlda1,PHLDA1,Daneman,lung_only
Phpt1,PHPT1,Daneman,lung_only
Phyhipl,PHYHIPL,Daneman,liver_only
Pias1,PIAS1,Daneman,liver_only
Picalm,PICALM,Daneman,liver_only
Pigx,PIGX,Daneman,lung_only
Pik3cg,PIK3CG,Daneman,lung_only
Pir,PIR,Daneman,liver_only
Pitrm1,PITRM1,Daneman,lung_only
Pkig,PKIG,Daneman,liver_only
Pla2g6,PLA2G6,Munji,NA
Pla2g7,PLA2G7,Daneman,liver_and_lung
Plagl1,PLAGL1,Daneman,lung_only
Plcb1,PLCB1,Daneman,liver_only
Plcb4,PLCB4,Daneman,liver_only
Plce1,PLCE1,Daneman,liver_and_lung
Pld1,PLD1,Daneman,liver_and_lung
Pld2,PLD2,Daneman,liver_only
Pld3,PLD3,Daneman,lung_only
Plekha2,PLEKHA2,Daneman,liver_only
Plekhb2,PLEKHB2,Daneman,liver_only
Plekhg5,PLEKHG5,Munji,NA
Plekhh1,PLEKHH1,Daneman,lung_only
Plekhh2,PLEKHH2,Munji,NA
Plekhn1,PLEKHN1,Munji,NA
Pllp,PLLP,Daneman,liver_only
Plp2,PLP2,Daneman,lung_only
Plscr1,PLSCR1,Daneman,liver_only
Plscr4,PLSCR4,Daneman,liver_only
Pltp,PLTP,Munji,NA
Plvap,PLVAP,Daneman,lung_only
Plxdc1,PLXDC1,Daneman,liver_and_lung
Plxdc2,PLXDC2,Daneman,liver_and_lung
Plxna2,PLXNA2,Daneman,liver_only
Plxnb1,PLXNB1,Daneman,liver_and_lung
Plxnb2,PLXNB2,Daneman,liver_and_lung
Plxnd1,PLXND1,Daneman,lung_only
Pmepa1,PMEPA1,Munji,NA
Pml,PML,Daneman,liver_only
Pnpla6,PNPLA6,Munji,NA
Pole4,POLE4,Daneman,liver_only
Polg2,POLG2,Daneman,liver_only
Polk,POLK,Both,liver_only
Pomc,POMC,Munji,NA
Porcn,PORCN,Munji,NA
Ppapdc2,PPAPDC2,Munji,NA
Ppard,PPARD,Munji,NA
Ppic,PPIC,Daneman,lung_only
Ppm1a,PPM1A,Daneman,liver_only
Ppm1h,PPM1H,Munji,NA
Ppp1r14a,PPP1R14A,Daneman,liver_and_lung
Ppp1r14b,PPP1R14B,Daneman,lung_only
Ppp1r2,PPP1R2,Daneman,liver_only
Ppp1r35,PPP1R35,Munji,NA
Ppp1r7,PPP1R7,Daneman,liver_only
Ppp1r8,PPP1R8,Munji,NA
Ppp1r9a,PPP1R9A,Daneman,lung_only
Ppp2cb,PPP2CB,Daneman,lung_only
Ppp3cc,PPP3CC,Both,liver_only
Ppp5c,PPP5C,Daneman,lung_only
Prcp,PRCP,Daneman,lung_only
Prdm1,PRDM1,Daneman,lung_only
Prdm16,PRDM16,Daneman,liver_only
Prdm9,PRDM9,Munji,NA
Prdx2,PRDX2,Daneman,lung_only
Prdx3,PRDX3,Daneman,liver_and_lung
Prdx4,PRDX4,Daneman,lung_only
Prdx5,PRDX5,Daneman,lung_only
Prdx6,PRDX6,Daneman,lung_only
Prelp,PRELP,Daneman,liver_and_lung
Prep,PREP,Daneman,lung_only
Prickle1,PRICKLE1,Daneman,liver_only
Prickle2,PRICKLE2,Daneman,liver_and_lung
Prkar1b,PRKAR1B,Daneman,liver_and_lung
Prkch,PRKCH,Daneman,liver_only
Prnd,PRND,Daneman,lung_only
Prnp,PRNP,Daneman,lung_only
Prom1,PROM1,Both,liver_only
Prpf39,PRPF39,Daneman,liver_only
Prpf4b,PRPF4B,Daneman,liver_only
Prr12,PRR12,Munji,NA
Prss23,PRSS23,Daneman,liver_only
Prune,PRUNE,Munji,NA
Psat1,PSAT1,Daneman,lung_only
Psip1,PSIP1,Daneman,lung_only
Psma5,PSMA5,Daneman,lung_only
Psmb10,PSMB10,Daneman,liver_only
Psmb2,PSMB2,Daneman,lung_only
Psmb4,PSMB4,Daneman,lung_only
Psmc4,PSMC4,Daneman,lung_only
Psmc5,PSMC5,Daneman,lung_only
Psmd13,PSMD13,Daneman,lung_only
Psmd8,PSMD8,Daneman,lung_only
Ptdss2,PTDSS2,Daneman,lung_only
Pten,PTEN,Daneman,liver_and_lung
Ptgds,PTGDS,Munji,NA
Ptger4,PTGER4,Daneman,liver_only
Ptgfrn,PTGFRN,Daneman,lung_only
Ptgis,PTGIS,Daneman,lung_only
Ptn,PTN,Both,liver_only
Ptov1,PTOV1,Daneman,lung_only
Ptp4a3,PTP4A3,Daneman,lung_only
Ptpla,PTPLA,Daneman,lung_only
Ptpn9,PTPN9,Daneman,liver_and_lung
Ptpre,PTPRE,Daneman,lung_only
Ptprf,PTPRF,Daneman,lung_only
Ptprk,PTPRK,Daneman,lung_only
Ptprr,PTPRR,Daneman,liver_only
Pttg1,PTTG1,Daneman,lung_only
Pura,PURA,Daneman,liver_only
Pvrl2,PVRL2,Daneman,lung_only
Pygb,PYGB,Daneman,lung_only
Rab11fip1,RAB11FIP1,Munji,NA
Rab11fip5,RAB11FIP5,Daneman,liver_only
Rab12,RAB12,Daneman,lung_only
Rab13,RAB13,Daneman,lung_only
Rab24,RAB24,Daneman,lung_only
Rab3il1,RAB3IL1,Daneman,lung_only
Rad1,RAD1,Munji,NA
Rad51ap1,RAD51AP1,Daneman,lung_only
Rad54b,RAD54B,Both,liver_only
Ralb,RALB,Daneman,lung_only
Ralgds,RALGDS,Daneman,lung_only
Ralgps2,RALGPS2,Daneman,lung_only
Ranbp1,RANBP1,Daneman,lung_only
Rap2c,RAP2C,Daneman,lung_only
Rapgef3,RAPGEF3,Daneman,liver_only
Raph1,RAPH1,Daneman,liver_and_lung
Rarres2,RARRES2,Daneman,liver_and_lung
Rasgrp4,RASGRP4,Munji,NA
Rassf4,RASSF4,Daneman,liver_only
Rassf8,RASSF8,Munji,NA
Rb1,RB1,Daneman,liver_only
Rbm20,RBM20,Munji,NA
Rbp1,RBP1,Daneman,lung_only
Rcan2,RCAN2,Munji,NA
Rcc2,RCC2,Daneman,lung_only
Rcn1,RCN1,Daneman,lung_only
Rcn3,RCN3,Daneman,lung_only
Rdx,RDX,Daneman,liver_only
Reck,RECK,Both,liver_only
Relb,RELB,Daneman,lung_only
Rep15,REP15,Munji,NA
Ret,RET,Munji,NA
Rfk,RFK,Daneman,liver_only
Rfxank,RFXANK,Munji,NA
Rgs16,RGS16,Daneman,lung_only
Rgs2,RGS2,Daneman,lung_only
Rgs4,RGS4,Daneman,liver_and_lung
Rhobtb1,RHOBTB1,Munji,NA
Rhobtb3,RHOBTB3,Daneman,lung_only
Rhoc,RHOC,Daneman,lung_only
Rhoj,RHOJ,Daneman,lung_only
Rhpn2,RHPN2,Daneman,liver_only
Ribc1,RIBC1,Munji,NA
Rnase4,RNASE4,Daneman,liver_only
Rnf103,RNF103,Daneman,liver_only
Rnf141,RNF141,Daneman,liver_only
Rnf144b,RNF144B,Munji,NA
Rnf168,RNF168,Munji,NA
Rpl11,RPL11,Daneman,lung_only
Rpl12,RPL12,Daneman,lung_only
Rpl13a,RPL13A,Daneman,lung_only
Rpl18,RPL18,Daneman,lung_only
Rpl23,RPL23,Daneman,lung_only
Rpl27,RPL27,Daneman,lung_only
Rpl35,RPL35,Daneman,lung_only
Rps17,RPS17,Daneman,lung_only
Rps18,RPS18,Daneman,lung_only
Rps26,RPS26,Daneman,lung_only
Rps27l,RPS27L,Daneman,lung_only
Rps3,RPS3,Daneman,lung_only
Rps6ka2,RPS6KA2,Daneman,lung_only
Rps6ka3,RPS6KA3,Daneman,lung_only
Rps6ka5,RPS6KA5,Daneman,liver_only
Rps7,RPS7,Daneman,lung_only
Rps8,RPS8,Daneman,lung_only
Rps9,RPS9,Daneman,lung_only
Rras2,RRAS2,Daneman,lung_only
Rrm2,RRM2,Daneman,lung_only
Rrm2b,RRM2B,Daneman,liver_only
Rrnad1,RRNAD1,Munji,NA
Rsad2,RSAD2,Daneman,liver_only
Rsbn1,RSBN1,Daneman,liver_only
Rsc1a1,RSC1A1,Daneman,lung_only
Rtn4,RTN4,Daneman,lung_only
Rybp,RYBP,Daneman,liver_only
S100a1,S100A1,Daneman,liver_only
S100a10,S100A10,Daneman,liver_only
Sacm1l,SACM1L,Daneman,liver_only
Samd9l,SAMD9L,Daneman,liver_only
Samhd1,SAMHD1,Daneman,liver_only
Sap18,SAP18,Daneman,liver_only
Sass6,SASS6,Munji,NA
Sc5d,SC5D,Daneman,liver_only
Sccpdh,SCCPDH,Daneman,lung_only
Scfd2,SCFD2,Munji,NA
Scgb3a1,SCGB3A1,Daneman,lung_only
Schip1,SCHIP1,Daneman,lung_only
Scn2b,SCN2B,Daneman,liver_and_lung
Scn3b,SCN3B,Daneman,liver_only
Scrn3,SCRN3,Munji,NA
Scube2,SCUBE2,Daneman,liver_only
Sdc2,SDC2,Daneman,liver_and_lung
Sdcbp2,SDCBP2,Daneman,lung_only
Sdf4,SDF4,Daneman,liver_only
Sdhd,SDHD,Daneman,lung_only
Sdpr,SDPR,Daneman,liver_only
Sec63,SEC63,Daneman,lung_only
Sema3c,SEMA3C,Daneman,liver_only
Sema3g,SEMA3G,Daneman,liver_only
Sema5a,SEMA5A,Daneman,liver_only
Sema7a,SEMA7A,Both,liver_only
Serbp1,SERBP1,Daneman,lung_only
Serinc5,SERINC5,Munji,NA
Serpina1b,SERPINA1,Daneman,liver_only
Serpinb1a,SERPINB1,Daneman,liver_only
Serpinb9,SERPINB9,Daneman,liver_only
Serpine1,SERPINE1,Daneman,lung_only
Serpinf1,SERPINF1,Daneman,lung_only
Serping1,SERPING1,Daneman,liver_and_lung
Serpinh1,SERPINH1,Daneman,lung_only
Serpini1,SERPINI1,Daneman,liver_and_lung
Sesn1,SESN1,Daneman,liver_only
Sestd1,SESTD1,Munji,NA
Sf3b4,SF3B4,Munji,NA
Sfxn1,SFXN1,Daneman,lung_only
Sgce,SGCE,Daneman,liver_and_lung
D8Ertd82e,SGK223,Daneman,lung_only
Sgms1,SGMS1,Munji,NA
Sgms2,SGMS2,Munji,NA
Sgpp1,SGPP1,Daneman,liver_only
Sgpp2,SGPP2,Both,liver_only
Sh3bp4,SH3BP4,Munji,NA
Sh3bp5,SH3BP5,Daneman,lung_only
Sh3kbp1,SH3KBP1,Daneman,lung_only
Shroom1,SHROOM1,Munji,NA
Siah1a,SIAH1,Daneman,liver_only
Sin3b,SIN3B,Daneman,lung_only
Sirt1,SIRT1,Daneman,liver_only
Skap1,SKAP1,Munji,NA
Ski,SKI,Daneman,liver_only
Slc12a2,SLC12A2,Daneman,liver_and_lung
Slc12a5,SLC12A5,Daneman,lung_only
Slc12a6,SLC12A6,Daneman,liver_only
Slc16a2,SLC16A2,Both,liver_only
Slc16a4,SLC16A4,Munji,NA
Slc16a6,SLC16A6,Munji,NA
Slc19a1,SLC19A1,Daneman,liver_and_lung
Slc19a3,SLC19A3,Both,liver_only
Slc1a1,SLC1A1,Both,liver_only
Slc1a4,SLC1A4,Daneman,lung_only
Slc22a5,SLC22A5,Daneman,liver_only
Slc22a8,SLC22A8,Munji,NA
Slc25a10,SLC25A10,Daneman,lung_only
Slc25a20,SLC25A20,Daneman,lung_only
Slc25a24,SLC25A24,Daneman,liver_only
Slc27a1,SLC27A1,Munji,NA
Slc29a1,SLC29A1,Daneman,lung_only
Slc2a1,SLC2A1,Munji,NA
Slc30a1,SLC30A1,Munji,NA
Slc30a10,SLC30A10,Daneman,liver_and_lung
Slc31a1,SLC31A1,Daneman,lung_only
Slc35d2,SLC35D2,Daneman,liver_only
Slc35f2,SLC35F2,Munji,NA
Slc36a1,SLC36A1,Munji,NA
Slc38a1,SLC38A1,Daneman,lung_only
Slc38a3,SLC38A3,Munji,NA
Slc38a5,SLC38A5,Both,lung_only
Slc39a10,SLC39A10,Munji,NA
Slc39a8,SLC39A8,Daneman,lung_only
Slc40a1,SLC40A1,Daneman,liver_only
Slc41a1,SLC41A1,Daneman,lung_only
Slc43a2,SLC43A2,Daneman,lung_only
Slc43a3,SLC43A3,Daneman,lung_only
Slc44a5,SLC44A5,Munji,NA
Slc45a4,SLC45A4,Daneman,lung_only
Slc4a1,SLC4A1,Munji,NA
Slc52a2,SLC52A2,Munji,NA
Slc52a3,SLC52A3,Munji,NA
Slc5a6,SLC5A6,Munji,NA
Slc6a13,SLC6A13,Munji,NA
Slc6a6,SLC6A6,Munji,NA
Slc7a1,SLC7A1,Munji,NA
Slc7a11,SLC7A11,Munji,NA
Slc7a3,SLC7A3,Munji,NA
Slc7a5,SLC7A5,Munji,NA
Slc7a7,SLC7A7,Daneman,lung_only
Slc7a8,SLC7A8,Daneman,lung_only
Slc9a2,SLC9A2,Munji,NA
Slco1c1,SLCO1C1,Munji,NA
Slco2a1,SLCO2A1,Daneman,lung_only
Slco2b1,SLCO2B1,Munji,NA
Slco3a1,SLCO3A1,Daneman,liver_and_lung
Slfn5,SLFN5,Daneman,liver_only
Smad1,SMAD1,Daneman,lung_only
Smad3,SMAD3,Daneman,lung_only
Smad6,SMAD6,Daneman,liver_only
Smad7,SMAD7,Both,liver_only
Smap1,SMAP1,Munji,NA
Smarce1,SMARCE1,Daneman,lung_only
Smox,SMOX,Both,lung_only
Snca,SNCA,Daneman,lung_only
Snrnp35,SNRNP35,Munji,NA
Snrpa1,SNRPA1,Daneman,lung_only
Snrpd3,SNRPD3,Daneman,lung_only
Snrpf,SNRPF,Daneman,lung_only
Snx13,SNX13,Daneman,liver_only
Snx16,SNX16,Daneman,liver_only
Snx4,SNX4,Daneman,lung_only
Snx5,SNX5,Daneman,lung_only
Socs1,SOCS1,Daneman,liver_only
Socs4,SOCS4,Daneman,liver_only
Socs5,SOCS5,Daneman,liver_only
Sorbs1,SORBS1,Both,liver_only
Sorbs2,SORBS2,Both,liver_only
Sos1,SOS1,Munji,NA
Sox11,SOX11,Daneman,lung_only
Sox17,SOX17,Daneman,liver_only
Sox18,SOX18,Daneman,liver_and_lung
Sox4,SOX4,Daneman,lung_only
Sox9,SOX9,Munji,NA
Sparcl1,SPARCL1,Munji,NA
Spata5l1,SPATA5L1,Munji,NA
Spock2,SPOCK2,Munji,NA
Spred2,SPRED2,Daneman,liver_only
Spry4,SPRY4,Daneman,lung_only
