Gene,Liver_nTPM,Brain_nTPM
NQO2,116.4,0
REEP5,116.2,0
CAP1,116.2,0
ISCU,116.1,0
ZFAND6,116,0
IER2,115.9,0
RAB11A,115.7,0
AGXT2,115.4,0
HM13,115.3,0
NDUFA6,115.3,0
ABCB4,115.1,0
CTH,115,0
HSD17B12,115,0
SRSF2,115,0
DYNLRB1,114.9,0
STAU1,114.8,0
IGLC1,114.5,0
MRPS26,114.4,0
NECTIN2,114.4,0
AGMO,114.4,0
PFDN2,114.3,0
CCT3,114.3,0
GRN,114,0
SREBF1,113.9,0
ABCC2,113.8,0
TP53I13,113.8,0
NHP2,113.7,0
NONO,113.6,0
SMCO4,113.6,0
ETFRF1,113.4,0
ACOX1,113.3,0
ANXA4,113,0
NR1H4,112.7,0
IGFALS,112.7,0
HNF4A,112.7,0
UROC1,112.6,0
SSBP1,112.5,0
MRPL32,112.4,0
CCL16,112.4,0
POLR2F,112.3,0
CALCOCO2,112.3,0
IL4R,112,0
CRAT,112,0
PSMC3,112,0
ARMC6,111.9,0
RXRA,111.8,0
NUDC,111.6,0
PTBP1,111.5,0
TRIM28,111.4,0
SYVN1,111.4,0
HACD3,111.3,0
GCSH,111.1,0
RTP3,111,0
ATP6V0E2,111,0
MRPL40,110.8,0
PMVK,110.7,0
SMIM14,110.6,0
FBXW5,110.4,0
POLD2,110.3,0
COA4,110,0
POLR2L,109.8,0
PEPD,109.6,0
TPM3,109.6,0
SMIM26,109.6,0
MCCC2,109.5,0
ABLIM3,109.5,0
SEPTIN2,109.4,0
PTP4A2,109.4,0
PROZ,109.2,0
MICU1,109,0
COLEC11,108.9,0
NNT,108.8,0
JCHAIN,108.8,0
PPP2CA,108.7,0
YWHAQ,108.7,0
UBA1,108.5,0
SLC25A25,108.5,0
RETSAT,108.4,0
VDAC2,108.4,0
TKFC,108.3,0
MTCH2,108,0
CYCS,108,0
FAHD2A,107.6,0
ENSG00000259171,107.6,0
NDUFA5,107.3,0
C19orf53,106.9,0
COPZ1,106.8,0
ERLIN1,106.7,0
PAIP2,106.7,0
SLC28A1,106.7,0
SLC25A18,106.7,0
RNH1,106.6,0
CCT7,106.6,0
TOLLIP,106.5,0
GABARAPL2,106.1,0
SNRNP70,106.1,0
TCEAL4,106,0
TMEM97,105.9,0
MATR3,105.8,0
NDUFA10,105.8,0
SPG21,105.7,0
EIF4G1,105.7,0
IGKV3-20,105.5,0
DCAF11,105.3,0
MMAB,105.3,0
YIPF3,104.8,0
DUSP3,104.6,0
WWP1,104.5,0
FCGR3A,104.5,0
CTBP1,104.3,0
NDUFS3,104.1,0
UGT2B17,104,0
MCFD2,103.8,0
RBPMS,103.7,0
LPCAT3,103.6,0
MPDU1,103.6,0
OIT3,103.6,0
GGT1,103.5,0
C4orf3,103.5,0
PDHB,103.5,0
HMOX2,103.4,0
MRPL37,103.3,0
TMEM141,103.2,0
SPATS2L,103.1,0
WDR13,103,0
EPAS1,103,0
NAPRT,103,0
PANK1,103,0
ADIRF,102.9,0
HYOU1,102.9,0
PPP2R1A,102.7,0
GOLPH3,102.7,0
TFG,102.7,0
GPS1,102.7,0
GLRX5,102.7,0
MGLL,102.6,0
PAICS,102.5,0
SDSL,102.4,0
PEX19,102,0
ELOVL5,101.9,0
TNIP1,101.8,0
ACTR2,101.7,0
SF3B2,101.6,0
EIF3M,101.6,0
STUB1,101.5,0
ATPAF1,101.4,0
PLAAT4,101.4,0
FERMT2,101.2,0
TOM1L1,101.2,0
ACP1,101.2,0
GGCX,100.9,0
MTSS2,100.9,0
ENO3,100.8,0
POLR2I,100.7,0
CLTC,100.7,0
SHFL,100.5,0
PIK3R1,100.5,0
C6orf62,100.4,0
PNKD,100.3,0
SARDH,100,0
AUP1,99.9,0
CLYBL,99.8,0
KTN1,99.7,0
KXD1,99.6,0
SHISA5,99.6,0
BLCAP,99.5,0
TMEM14A,99.4,0
SLC25A15,99.4,0
PIM3,99.4,0
SPR,99.2,0
PDXDC1,99,0
HMGCR,98.8,0
CLIC1,98.8,0
CLNS1A,98.7,0
GALK1,98.5,0
IER3,98.4,0
EIF4EBP1,98.2,0
MAZ,98.1,0
PHB1,98.1,0
C1orf115,98,0
CD5L,97.9,0
STRADB,97.9,0
CDC37,97.8,0
SF1,97.7,0
H2AZ1,97.5,0
NUCKS1,97.4,0
NFE2L1,97.4,0
TAF10,97.4,0
HNRNPU,97.2,0
PMPCA,97.2,0
RHBDD2,97.1,0
DNAJB9,97,0
EMC7,97,0
SLC47A1,97,0
GPT2,96.9,0
TRAPPC5,96.9,0
GET4,96.9,0
ACAD11,96.9,0
PCYOX1,96.8,0
DCAF8,96.8,0
ANP32B,96.8,0
TMEM220,96.8,0
MRPL4,96.5,0
ALDOC,96.5,0
IGHG2,96.1,0
SYNGR2,95.9,0
BOK,95.9,0
SARS1,95.8,0
IGKJ4,95.7,0
AK4,95.6,0
SAA2-SAA4,95.6,0
MAP2K2,95.5,0
IFNGR1,95.3,0
BAD,95.2,0
RAB5C,95.2,0
DDIT3,95.2,0
NPIPA9,95.2,0
GUCD1,95.1,0
IMP3,95.1,0
IGLV2-14,95.1,0
CFHR4,95,0
H1-10,95,0
SLC22A10,94.9,0
MRPS18B,94.8,0
HAX1,94.5,0
TXNL4A,94.4,0
SEPTIN9,94.4,0
IFRD2,94.4,0
COMMD6,94.2,0
HMGN1,94.2,0
SSR3,94.1,0
ACOT12,94.1,0
COL6A2,94,0
ZNF706,93.9,0
FAM210B,93.8,0
DYNLT1,93.8,0
MAP2K3,93.7,0
SLC25A28,93.7,0
GBP7,93.7,0
ISOC1,93.6,0
TM7SF2,93.6,0
BTD,93.6,0
TCP1,93.5,0
SNRPC,93.5,0
TMBIM4,93.5,0
ATXN2L,93.4,0
PPCS,93.1,0
FCN2,93.1,0
GALNT2,93,0
SGK1,92.9,0
PSMB8,92.9,0
EBPL,92.8,0
CYP39A1,92.8,0
TARDBP,92.7,0
TMEM45A,92.7,0
ARPC4,92.7,0
POLR2J,92.6,0
TNFSF14,92.6,0
MAP3K11,92.6,0
PFDN6,92.6,0
CCDC47,92.5,0
ODC1,92.5,0
HNRNPL,92.4,0
CSAD,92.4,0
SLC35C1,92.4,0
CTSO,92.4,0
NPIPB3,92,0
CDC34,91.9,0
RHEB,91.9,0
SNRPB,91.9,0
PCTP,91.6,0
FAM32A,91.5,0
SEC13,91.5,0
HMGB3,91.3,0
POLR1D,91.2,0
MRPL55,91.1,0
DRAP1,91.1,0
S100A13,91,0
PNP,91,0
CDH1,90.8,0
ACBD4,90.7,0
SPPL2A,90.6,0
CENPX,90.5,0
ATP6AP2,90.5,0
RASSF7,90.3,0
AGTR1,90.3,0
SURF1,90.3,0
SMPD1,90.3,0
PLIN4,90.2,0
CCS,90.2,0
SIGIRR,90.1,0
CTSA,90,0
TYK2,90,0
ST20-MTHFS,90,0
CCN1,89.9,0
SLC46A3,89.8,0
TOMM5,89.8,0
COPS9,89.7,0
SNU13,89.6,0
MTFR1L,89.6,0
LACTB2,89.6,0
LYRM1,89.5,0
MBNL2,89.5,0
KLF10,89.5,0
H6PD,89.4,0
DST,89.4,0
DEXI,89.4,0
SSR1,89.3,0
HLA-DRA,89.2,0
SNRPG,89,0
DCAF6,88.9,0
SHC1,88.9,0
MARCO,88.8,0
PSMD3,88.8,0
TMED9,88.8,0
SUMF2,88.7,0
KLF15,88.7,0
HLA-DQA1,88.7,0
TPP1,88.5,0
GDF15,88.3,0
HHEX,88.1,0
TTC39C,87.8,0
ECHDC1,87.7,0
RAB14,87.7,0
UBXN4,87.7,0
PRPF8,87.7,0
NAXD,87.7,0
WBP1,87.7,0
DEFA1B,87.5,0
SPON2,87.4,0
KLC4,87.2,0
CRELD2,87.2,0
VDAC3,86.8,0
STOML2,86.8,0
SERINC3,86.7,0
CCT8,86.7,0
GCDH,86.6,0
BEX3,86.6,0
RAMP1,86.5,0
PKLR,86.5,0
NAA38,86.5,0
EIF1B,86.3,0
SLC41A2,86,0
CLTB,86,0
PPP1R12C,85.9,0
CCM2,85.7,0
H2BC12,85.7,0
KMO,85.6,0
ESRRA,85.6,0
SLC2A4RG,85.5,0
ZFP36L2,85.5,0
ENSG00000289694,85.5,0
NBR1,85.4,0
CLK1,85.3,0
PPP1R15A,85.3,0
GSDMD,85.3,0
IGKJ1,85.3,0
CPT2,85.2,0
ARSL,85.2,0
LYPLA2,85.1,0
LUC7L3,85.1,0
EMC4,85.1,0
FKBP11,85,0
TMEM14B,84.9,0
CDC42,84.8,0
RAP1A,84.8,0
PAIP1,84.8,0
MRPS34,84.7,0
HNRNPM,84.6,0
GNE,84.6,0
ATP6V1F,84.5,0
NR1H3,84.3,0
TCEA1,84.3,0
SRSF4,84.2,0
PTH1R,84.2,0
CCL14,84.2,0
H2AZ2,84,0
ACTR3,84,0
B4GALT1,83.9,0
DLD,83.8,0
CD163,83.8,0
NDUFA7,83.8,0
CLINT1,83.7,0
RBCK1,83.7,0
MTDH,83.7,0
H2AJ,83.7,0
CTSH,83.6,0
SNTB1,83.5,0
OAZ2,83.5,0
HNRNPAB,83.5,0
ARCN1,83.4,0
ERBB3,83.3,0
MVD,83.3,0
SLX1A,83.2,0
EPB41L4B,83.1,0
SRSF9,83.1,0
MRPL15,83.1,0
TPRG1L,83.1,0
NUDT5,83,0
PNPO,82.9,0
GFUS,82.8,0
REPIN1,82.8,0
HSD17B14,82.6,0
CHRNA4,82.6,0
KYNU,82.6,0
FAM8A1,82.6,0
PPP2R5C,82.5,0
C11orf24,82.5,0
GBP1,82.4,0
DAP3,82.4,0
SLC6A1,82.4,0
EIF3D,82.3,0
CHID1,82.3,0
CCDC124,82,0
MAP1LC3A,82,0
BAIAP2,82,0
RBIS,82,0
ARHGEF10L,81.8,0
RNF7,81.8,0
RTN3,81.8,0
IGHM,81.8,0
MZT2A,81.7,0
TSPO,81.6,0
TSPAN3,81.6,0
PDCD6,81.6,0
FGFR4,81.5,0
SMIM12,81.4,0
PSMC6,81.3,0
MSN,81.3,0
N4BP2L1,81.2,0
NAXE,81.2,0
MRPL43,81.1,0
IP6K2,81.1,0
LONP2,81.1,0
PROX1,81.1,0
ELL2,81,0
ANAPC13,81,0
CDA,80.9,0
SLC22A18,80.8,0
VAMP5,80.8,0
SQOR,80.7,0
TRIB3,80.6,0
SOCS3,80.6,0
ANKRD10,80.4,0
CTNND1,80.3,0
RBM4,80.2,0
MPDZ,80.1,0
SCYL1,80.1,0
TMEM120A,80.1,0
RBM6,80,0
UBR4,80,0
ATP6V1E1,80,0
ACP2,80,0
COQ4,80,0
TYROBP,79.8,0
PPP4C,79.8,0
RAB6A,79.7,0
NDUFAF8,79.6,0
DCPS,79.5,0
MTARC1,79.5,0
MAT2B,79.4,0
FGF21,79.4,0
SELENOS,79.4,0
CBX3,79.3,0
TMX2,79.3,0
MCRIP1,79.3,0
BCKDK,79.2,0
MRPS2,79.2,0
MRPS7,79.2,0
UQCC2,79.2,0
DPY30,79.1,0
BPHL,79,0
NDUFAF3,78.8,0
NEU4,78.7,0
MTLN,78.6,0
QSOX1,78.5,0
CCL4,78.5,0
IARS2,78.4,0
SPTBN1,78.4,0
AP1M1,78.1,0
BAG1,78.1,0
LYPLA1,78.1,0
KDM8,78.1,0
IGF1,78,0
MRPS33,78,0
ZFAND2A,78,0
PSMC1,77.8,0
PIK3AP1,77.8,0
PHYHD1,77.7,0
PLEKHJ1,77.6,0
TLE1,77.6,0
CCN2,77.5,0
ACTN4,77.5,0
NAT8,77.3,0
MRPL14,77.3,0
EWSR1,77.3,0
RPL17-C18orf32,77.3,0
AAMP,77.2,0
ELOF1,77.1,0
CTNNA1,77,0
AIFM1,77,0
NAA20,77,0
MYH9,76.9,0
PSENEN,76.8,0
CTSC,76.7,0
ECM2,76.6,0
RNF10,76.5,0
MLEC,76.5,0
OGFR,76.4,0
PZP,76.4,0
PAPOLA,76.3,0
LONP1,76.3,0
DLST,76.2,0
NDUFA8,76.1,0
CCNL2,76.1,0
SLC25A42,76,0
MRPL38,75.9,0
TSTD1,75.8,0
OCEL1,75.7,0
AIF1,75.7,0
SEC23A,75.5,0
CD36,75.5,0
ABCB11,75.3,0
PGLS,75.3,0
TIMM17A,75.3,0
GLTPD2,75.3,0
CPSF1,75.2,0
PRKACA,75.2,0
ELOC,75.2,0
STRAP,75.1,0
C5orf15,75.1,0
ARPC1B,75.1,0
ARL6IP5,75.1,0
PDIA5,75,0
TMED7,75,0
TCF25,75,0
ARFGAP2,75,0
TIMM10,74.9,0
CLEC1B,74.8,0
SMPDL3A,74.8,0
OGDHL,74.8,0
COPRS,74.7,0
ILRUN,74.7,0
CLRN3,74.6,0
DCTD,74.5,0
PGGHG,74.5,0
SLC17A2,74.4,0
DDAH1,74.4,0
SRRT,74.3,0
PSMD7,74.2,0
CD9,74.1,0
ITPRID2,74.1,0
SLC39A1,74.1,0
RPRD1B,74,0
PLAAT3,74,0
DNAJC4,73.8,0
CPEB4,73.8,0
CNPY3,73.8,0
CDK10,73.8,0
ARPC1A,73.8,0
RTRAF,73.7,0
PCMT1,73.7,0
U2AF1,73.7,0
RTL8C,73.5,0
CALU,73.4,0
TAX1BP1,73.3,0
METTL26,73.3,0
ELF3,73.3,0
BCKDHB,73.2,0
CPN1,73.2,0
SLC38A10,73.2,0
DDRGK1,73.2,0
MRPS12,73.1,0
MRPL16,73.1,0
UBE2V1,73.1,0
PLOD1,73,0
PLPBP,73,0
MPG,72.9,0
ABCA6,72.9,0
RFNG,72.9,0
EIF3A,72.8,0
HNRNPH2,72.7,0
NMD3,72.7,0
BAG6,72.7,0
MRPS35,72.6,0
ATP5F1E,72.6,0
VPS29,72.5,0
PPP1CB,72.4,0
PDXP,72.4,0
FBXL5,72.3,0
DERL1,72.3,0
PJA2,72.3,0
STX10,72.2,0
STAT6,72.2,0
MRPL36,72.2,0
GNPNAT1,72.1,0
FAM177A1,72,0
PAPSS2,72,0
EMC6,71.9,0
USO1,71.9,0
KARS1,71.8,0
THOP1,71.8,0
LPA,71.8,0
RANGAP1,71.6,0
ERGIC1,71.6,0
AHSA1,71.5,0
GSPT1,71.3,0
ANP32A,71.3,0
MAGOH,71.2,0
SPAG7,71.1,0
ARRDC3,71,0
AZIN1,71,0
LRRC59,70.9,0
FBL,70.8,0
LSM5,70.8,0
PRADC1,70.8,0
IGKV4-1,70.8,0
PPP6R2,70.7,0
LSM7,70.7,0
FGGY,70.7,0
HEXA,70.7,0
IL1R1,70.6,0
NARS1,70.6,0
FBXO17,70.5,0
AMFR,70.4,0
RTCB,70.3,0
SRSF3,70.3,0
TMEM9,70.2,0
SUOX,70.2,0
EIF2A,70.2,0
TM9SF3,70.1,0
DECR1,70.1,0
C11orf98,70.1,0
CCNB1IP1,70,0
STT3B,70,0
PSMD6,70,0
SLC35D1,69.9,0
TPST2,69.9,0
CXCL8,69.9,0
AKAP17A,69.9,0
C1orf122,69.9,0
ASPH,69.9,0
PAM16,69.9,0
CPTP,69.9,0
UBXN1,69.8,0
AP3S1,69.8,0
CCNC,69.7,0
DNAJB2,69.7,0
MIA3,69.7,0
EIF2S3,69.6,0
CYSTM1,69.5,0
FLOT2,69.5,0
SCOC,69.5,0
RBM3,69.4,0
PINK1,69.4,0
CCT5,69.3,0
TIMM23,69.3,0
SLC25A11,69.2,0
TXNDC12,69.2,0
DEPDC7,69.2,0
UBQLN1,69.2,0
NPTN,69.2,0
PEF1,69.1,0
POP7,69.1,0
RNF13,69,0
OPTN,69,0
XAF1,69,0
REX1BD,68.9,0
SLC12A7,68.9,0
RBM8A,68.9,0
SMAP2,68.8,0
COPB1,68.8,0
F11R,68.8,0
CTPS1,68.8,0
UBALD1,68.7,0
HGS,68.7,0
THOC7,68.6,0
CAPZA1,68.4,0
TXNDC17,68.4,0
SLC6A12,68.3,0
RSL24D1,68.2,0
MTSS1,68.2,0
ORAI3,68.2,0
PA2G4,68.1,0
HEBP2,68,0
STIP1,67.9,0
PSMF1,67.8,0
H2BC5,67.7,0
YWHAG,67.7,0
SELENOT,67.7,0
SQLE,67.6,0
GALM,67.6,0
SUN2,67.5,0
SEPTIN7,67.5,0
GLOD4,67.5,0
RAD23A,67.5,0
ATRAID,67.4,0
GNG10,67.4,0
ICAM1,67.3,0
CMAS,67.3,0
CYP4F11,67.3,0
ADGRG6,67.2,0
SLC39A7,67.2,0
SSNA1,67.2,0
KCTD3,67.1,0
SCARB2,67.1,0
APOL3,67,0
VPS25,66.9,0
MAGED1,66.9,0
GK,66.9,0
FST,66.8,0
JUP,66.8,0
WDR45,66.8,0
SRSF1,66.7,0
ZNF593,66.7,0
SLC51A,66.7,0
RELA,66.7,0
NPIPA9,66.7,0
COPB2,66.5,0
COASY,66.4,0
PLA2G12B,66.4,0
UBE2E1,66.4,0
SNX1,66.3,0
CHMP4B,66.3,0
PDHA1,66.3,0
CHTF8,66.3,0
GPAA1,66.3,0
MRPL46,66.3,0
SGTA,66.2,0
SCARB1,66,0
ERG28,66,0
RAB2A,65.8,0
LDHB,65.8,0
KIAA1191,65.8,0
IDNK,65.8,0
SAR1A,65.6,0
RAB18,65.6,0
NUDT7,65.6,0
ZNF358,65.6,0
NENF,65.5,0
CCL21,65.5,0
CTDNEP1,65.5,0
PET100,65.5,0
PMM1,65.4,0
SNRPN,65.4,0
PRPSAP1,65.4,0
CAMTA1,65.4,0
CPQ,65.3,0
IGLV3-1,65.3,0
FPGS,65.2,0
POLR2K,65.2,0
FKBP3,65.1,0
MCEE,65.1,0
RPL14,65,0
NUCB2,64.9,0
PRPF19,64.7,0
TEX264,64.7,0
AHCYL1,64.7,0
HYI,64.7,0
HLA-DRB1,64.7,0
CTTN,64.5,0
NUTF2,64.5,0
HSD17B7,64.5,0
STT3A,64.5,0
G3BP1,64.5,0
ILF2,64.4,0
SLC3A2,64.4,0
TNFRSF12A,64.3,0
RAB5B,64.3,0
TPMT,64.3,0
DNAJB11,64.2,0
TARS1,64.2,0
C19orf12,64.2,0
IL17RC,64.2,0
ZNF444,64.2,0
PQBP1,64.1,0
TNS2,64.1,0
DNAJC7,64.1,0
ARL1,64,0
NR1H2,64,0
SSB,64,0
DPYD,64,0
NAAA,63.9,0
GBA2,63.8,0
FBXO9,63.8,0
PTS,63.8,0
RRAGA,63.8,0
BBLN,63.8,0
UGT1A3,63.7,0
DEK,63.6,0
PSMD2,63.6,0
NBPF9,63.6,0
GNPTG,63.5,0
SGK2,63.5,0
BCCIP,63.5,0
CPT1A,63.5,0
FARP1,63.5,0
TAF15,63.5,0
IK,63.4,0
TPM1,63.4,0
POLR2G,63.4,0
DPP7,63.4,0
PLPP1,63.3,0
CNPY2,63.3,0
ST3GAL1,63.2,0
GALE,63.2,0
NUDT16L1,63.2,0
TXNRD2,63.2,0
SND1,63.2,0
RNF14,63.1,0
DNAJC12,63.1,0
IMP4,63.1,0
BAP1,63,0
HSD17B8,63,0
ZC3H15,62.9,0
DNAJA3,62.8,0
RABGGTB,62.8,0
SUPT4H1,62.8,0
MAP4,62.7,0
AADAT,62.7,0
HES1,62.7,0
NAA50,62.7,0
ZFAND2B,62.7,0
BORCS7,62.7,0
SIAH2,62.7,0
RORC,62.6,0
CCPG1,62.6,0
SYPL1,62.5,0
ADAMTS13,62.5,0
PNRC2,62.5,0
IKBKG,62.5,0
AKT1S1,62.4,0
SEL1L,62.3,0
TMEM147,62.3,0
TADA3,62.3,0
GSTP1,62.2,0
DCTN3,62.2,0
POLR2H,62.2,0
TAF7,62.2,0
MRPL21,62.2,0
TANK,62.1,0
RBMX,62.1,0
GPBP1L1,62.1,0
MAPKAPK2,62.1,0
MS4A7,62.1,0
SEPTIN10,62.1,0
ARHGEF12,62.1,0
SMIM7,62.1,0
TRIAP1,62,0
RALY,61.9,0
CDK9,61.9,0
MRPL18,61.8,0
CYP1A1,61.8,0
CPSF7,61.7,0
IRAK1,61.7,0
GDI1,61.7,0
NANS,61.6,0
ILK,61.6,0
MSRA,61.6,0
CRY2,61.5,0
PSMG2,61.4,0
CSRNP1,61.4,0
NDUFB6,61.4,0
TGIF1,61.4,0
COLEC10,61.4,0
MRPL3,61.3,0
CHPF,61.3,0
SDR39U1,61.2,0
SUMO3,61.2,0
FAM3A,61.1,0
ARAF,61.1,0
MTIF3,61.1,0
APOL2,61.1,0
G3BP2,61.1,0
EIF2AK1,60.9,0
PIN1,60.9,0
CADM1,60.9,0
MRPS21,60.9,0
AARS1,60.8,0
TJP2,60.7,0
HP1BP3,60.7,0
ABHD6,60.7,0
TNFRSF14,60.6,0
PMF1,60.6,0
RNPS1,60.6,0
AKR7A2,60.5,0
EIF3L,60.5,0
COPA,60.5,0
ATXN10,60.5,0
LCN2,60.5,0
XPO6,60.5,0
FOXA3,60.4,0
YPEL5,60.2,0
PPP1CC,60.2,0
TRPC4AP,60.1,0
HPCAL1,60.1,0
ARPC5,60.1,0
FAHD1,60.1,0
EMC10,60,0
MEA1,59.9,0
S100A4,59.8,0
RTF2,59.6,0
YME1L1,59.6,0
ABCG5,59.6,0
VAMP3,59.5,0
KANK1,59.5,0
CCT4,59.5,0
LMNA,59.5,0
CCDC167,59.5,0
MRPL19,59.4,0
DHRS1,59.4,0
NAA60,59.3,0
SHBG,59.3,0
RAF1,59.3,0
ASPSCR1,59.3,0
PSME3IP1,59.3,0
CISH,59.2,0
PDLIM2,59.1,0
APEH,59.1,0
KEAP1,59,0
TCIRG1,59,0
CASP4,59,0
ZNF207,58.9,0
STARD7,58.9,0
HBS1L,58.9,0
TIMP2,58.8,0
DHODH,58.8,0
MVK,58.8,0
ATRN,58.7,0
ST6GALNAC6,58.7,0
CYBC1,58.7,0
AGPAT1,58.7,0
CLEC4M,58.6,0
EMC3,58.6,0
C7orf50,58.6,0
TMEM179B,58.6,0
TSR3,58.5,0
SH3BGRL,58.5,0
PCED1A,58.5,0
C9orf78,58.5,0
JAGN1,58.5,0
PDE4DIP,58.5,0
ARPC5L,58.4,0
AMDHD1,58.4,0
TUBA1C,58.4,0
MAGT1,58.3,0
POLR2C,58.3,0
GPHN,58.3,0
DPM1,58.2,0
TRAPPC6A,58.2,0
TSG101,58.2,0
TRAF4,58.2,0
NMRAL1,58.2,0
PID1,58.2,0
PABPC4,58.1,0
SMARCA1,58.1,0
ENG,58.1,0
RAD21,58.1,0
TCEA2,58.1,0
GLMP,58.1,0
SMARCA2,58,0
AGMAT,58,0
SMOC1,58,0
TRIM27,58,0
SRP54,57.9,0
EIF1AX,57.9,0
MARCHF2,57.8,0
DDTL,57.8,0
ALG5,57.8,0
PRMT1,57.8,0
FASTK,57.8,0
LHPP,57.7,0
NAGLU,57.7,0
IMMT,57.7,0
TOMM70,57.7,0
MAF1,57.7,0
SERPINB6,57.6,0
CLTRN,57.5,0
U2AF2,57.4,0
GDA,57.4,0
YWHAH,57.4,0
SHC2,57.4,0
LARP4,57.4,0
FMO4,57.3,0
IDH3B,57.3,0
RNF11,57.3,0
TUBB2A,57.3,0
ECM1,57.2,0
MARS1,57.1,0
MCRIP2,57.1,0
NSUN6,57.1,0
SP100,57,0
KIAA2013,57,0
GOLM2,57,0
ASAH1,56.9,0
GIPC1,56.9,0
IGKJ2,56.9,0
NUBP2,56.8,0
SRD5A2,56.8,0
COQ5,56.7,0
PNPLA2,56.7,0
CRIP2,56.7,0
EGLN2,56.7,0
TAB2,56.6,0
MRPL28,56.6,0
ABRACL,56.6,0
CACFD1,56.6,0
RCC1L,56.5,0
RBM5,56.4,0
LDLR,56.4,0
SON,56.4,0
OXER1,56.4,0
NUDT8,56.4,0
VAMP2,56.4,0
MRPS18A,56.3,0
PFKL,56.3,0
LSS,56.3,0
RNF123,56.3,0
ATG2A,56.2,0
ADRA1A,56.2,0
CEMIP2,56.2,0
CTDSP2,56.2,0
TMEM53,56.1,0
MYC,56.1,0
UROS,56.1,0
DHFR,56.1,0
RGS1,56,0
EIF3B,56,0
EDEM1,56,0
TPM2,56,0
PGAP6,55.9,0
PIM1,55.9,0
RETREG2,55.8,0
SRPRB,55.8,0
FKBP4,55.7,0
SH3GL1,55.7,0
SLC25A38,55.7,0
PPID,55.6,0
RBL2,55.5,0
CERS4,55.4,0
ARL4D,55.4,0
PALM3,55.4,0
OARD1,55.3,0
NCLN,55.3,0
TGFBR2,55.3,0
GOLIM4,55.3,0
SLC35A4,55.3,0
SKIC2,55.3,0
SOCS2,55.2,0
ZC3H13,55.2,0
RUSF1,55.2,0
AMN,55.2,0
HCFC1R1,55.1,0
RDH5,55.1,0
TMEM82,55.1,0
TM2D3,55.1,0
BABAM1,55,0
EGFL7,55,0
EIF3J,54.9,0
RABEPK,54.9,0
GTF3C6,54.9,0
NIT1,54.9,0
JMJD8,54.9,0
MBNL3,54.8,0
MCCC1,54.8,0
CHST13,54.8,0
VMP1,54.7,0
GTF2I,54.7,0
AAMDC,54.6,0
EZR,54.6,0
YY1,54.6,0
AKT2,54.6,0
TPD52L1,54.6,0
CXCL14,54.6,0
FNIP2,54.5,0
GMPR2,54.5,0
OSBP,54.5,0
SORL1,54.5,0
ADGRA3,54.5,0
UBE2E3,54.5,0
GSDMB,54.4,0
ILVBL,54.4,0
MAP1LC3B,54.4,0
ALG3,54.4,0
PPP3R1,54.4,0
LMF2,54.3,0
TBC1D9B,54.3,0
NAP1L4,54.3,0
ACTN1,54.2,0
RNASE1,54.2,0
UGT3A1,54.2,0
YIF1B,54.2,0
PI4K2B,54.1,0
HOGA1,54.1,0
AP3D1,54,0
PHAF1,54,0
TRIM22,54,0
ZMAT2,54,0
WEE1,54,0
SIRT2,53.9,0
PNISR,53.9,0
OSTF1,53.9,0
API5,53.9,0
TSPAN9,53.8,0
SNRPA,53.8,0
GMPPA,53.8,0
COPS2,53.8,0
SMIM30,53.8,0
THYN1,53.7,0
TRIM8,53.7,0
CALCOCO1,53.6,0
FAM120A,53.6,0
SLC23A2,53.6,0
COPS7A,53.6,0
ACTR1B,53.6,0
MID1IP1,53.6,0
ZCRB1,53.5,0
STAP2,53.5,0
DPP4,53.5,0
UCKL1,53.5,0
ATP6AP1,53.4,0
GGT5,53.4,0
GBF1,53.4,0
DPM2,53.4,0
RNF187,53.4,0
IGLV3-19,53.4,0
EIF4EBP3,53.4,0
MRPS6,53.4,0
B3GAT3,53.3,0
UQCRFS1,53.3,0
COMMD1,53.3,0
ANO6,53.2,0
PITPNB,53.2,0
HMG20B,53.1,0
RBBP7,53.1,0
EPB41L5,53.1,0
NPLOC4,53.1,0
HNRNPH3,53,0
PLOD2,53,0
SRSF10,53,0
CDK2AP1,52.9,0
RMDN1,52.9,0
SMLR1,52.9,0
SEPTIN4,52.8,0
EGLN1,52.8,0
DPP9,52.8,0
CCDC50,52.8,0
CHMP5,52.7,0
ETHE1,52.7,0
MMP24OS,52.7,0
PRKAB2,52.7,0
ELP5,52.7,0
KHSRP,52.6,0
GCAT,52.6,0
COX7A2L,52.6,0
ENSG00000250644,52.6,0
SMARCD2,52.5,0
CHCHD5,52.5,0
AGAP3,52.5,0
GNS,52.5,0
AMT,52.5,0
ADAR,52.5,0
MME,52.5,0
YIPF2,52.4,0
IGHV3-23,52.4,0
SIL1,52.3,0
GNL3,52.3,0
DDB1,52.3,0
OVCA2,52.3,0
COQ9,52.2,0
TMED1,52.2,0
UCK1,52.2,0
ALPL,52.2,0
FAAP20,52.2,0
BET1L,52.2,0
NRDC,52.1,0
YPEL3,52.1,0
SLC16A1,52,0
IGSF8,52,0
ENDOG,52,0
THAP4,52,0
MRFAP1L1,52,0
RIOK3,51.9,0
CDC123,51.9,0
CHTOP,51.9,0
CHCHD1,51.9,0
SRSF6,51.7,0
PCNA,51.7,0
MRPL39,51.7,0
UPK3BL1,51.7,0
PLOD3,51.6,0
NRBP1,51.6,0
POLR3GL,51.6,0
RBM42,51.6,0
IDH3G,51.5,0
