Gene,Liver_nTPM,Brain_nTPM
PHYH,624.2,0
G0S2,622.3,0
GPX1,621.9,0
GPX2,616.4,0
ACAA1,616.3,0
PTMA,615.5,0
ECH1,615.3,0
GAMT,610.2,0
GRHPR,610,0
RPL35A,607.8,0
C8B,607.6,0
RHOB,600.6,0
SLC22A1,595.7,0
F12,593.2,0
GABARAP,590.8,0
C6,588.3,0
APOC4,585.9,0
PROC,584.1,0
DHCR24,583.3,0
AKR1C1,581.4,0
ENO1,581,0
COX7C,579.4,0
PON3,576.2,0
CYP27A1,575.4,0
GNAS,574.4,0
COX7A2,573.2,0
ATP5MF,571.3,0
SLC38A4,570.3,0
GSTM1,569.8,0
ATP5F1B,569.5,0
APOA5,568.8,0
HAO1,568.2,0
A1BG,565.1,0
ASGR2,559,0
PTGR1,555.5,0
TST,555.5,0
NDUFB1,552.9,0
ADI1,552.4,0
CYP2B6,549.6,0
ACADVL,549,0
HINT1,548.2,0
MLXIPL,546.1,0
SCD,546.1,0
ATP5MK,544.7,0
COX4I1,543.1,0
COX6B1,541.8,0
MSMO1,537.9,0
HSD17B13,536.4,0
KRT18,534.5,0
PTP4A1,533.7,0
CD63,526.9,0
INSIG1,526.8,0
VKORC1,525.5,0
REEP6,523.4,0
RPS4X,522.9,0
C8G,522.4,0
FXYD1,520.8,0
SLC39A14,515.9,0
SERPINA4,514.2,0
ACSM2B,509.8,0
NME2,508.9,0
SLC25A47,508.8,0
RPL36A,508.5,0
NDRG2,508.4,0
GLYATL1,508.1,0
H3-3A,502.8,0
SLCO1B1,502.3,0
IDH1,501.4,0
PON1,498,0
LEAP2,496.1,0
TIMP1,494.4,0
ETFB,489.9,0
PCBD1,488.2,0
SPP2,484.9,0
EEF1B2,484.4,0
CYP1A2,478.4,0
EFNA1,476.5,0
CFL1,475.8,0
PCBP2,475.8,0
CDO1,473.7,0
PIPOX,473.5,0
TMEM59,471.8,0
SDC1,471.7,0
PFDN5,471.3,0
C8A,464.3,0
HLA-B,463.1,0
CALM2,460.6,0
SERPINA11,458.6,0
TPI1,454.8,0
C2,454.7,0
CSTB,454.6,0
NDUFA13,453.5,0
MASP2,452.9,0
TOMM7,452.8,0
HLA-C,452.1,0
ATP5MC2,449.9,0
APOM,448.8,0
AKR1C2,448.7,0
CIDEB,448.3,0
RPL22,448.1,0
CTSD,447.3,0
DPYS,446.6,0
LECT2,445.4,0
ZFP36,441,0
C4BPB,440.2,0
CTSB,439.7,0
EEF1D,438,0
SEC61B,436.1,0
HSPD1,432.6,0
COX8A,432.1,0
MYL12A,431.7,0
DCN,428.9,0
GSTK1,427.3,0
AGPAT2,426.9,0
GRINA,426.8,0
CD14,425.8,0
CHI3L1,423.6,0
ATP5PD,423.6,0
NDUFV2,423.3,0
NDUFA1,421.9,0
SLC22A7,419.3,0
C5,418.8,0
UBL5,413.4,0
ATP5F1A,412.8,0
HABP2,408.9,0
SEM1,408.8,0
ANGPTL8,408.5,0
OAF,407.9,0
TXN,406.9,0
CNBP,405.3,0
BHMT2,401.8,0
MT1A,400.5,0
SLC10A1,399.1,0
AKR1D1,398.8,0
HAO2,397.7,0
SLC9A3R2,397.6,0
MRPL41,396.7,0
FCGRT,395.4,0
METTL7A,395.4,0
ECI2,395,0
SLC13A5,393.9,0
HLA-A,393.1,0
APOF,389.4,0
CYP2D6,386.2,0
GADD45B,384.2,0
MPC1,384.1,0
SDC4,383.9,0
HSP90AB1,383.3,0
LAPTM4A,382.5,0
CREB3L3,381.3,0
DEFB1,381.1,0
MYL12B,379.3,0
CYP8B1,378.2,0
SEPHS2,377.1,0
SLC25A3,376,0
SHMT1,375.9,0
OST4,375.7,0
ATP5PO,375.1,0
GJB1,374.9,0
COX5B,373.1,0
ATP5MC3,371.4,0
PARK7,370.9,0
MPST,370.6,0
UGT1A4,367.8,0
PCK2,366.9,0
MGST2,366.8,0
CFHR3,366.8,0
ITM2B,366,0
GCHFR,365.5,0
HMGCS1,364.9,0
HSP90AA1,364.1,0
SQSTM1,363.4,0
CEBPD,360.2,0
RGN,358.7,0
NDUFS5,357.9,0
ASL,356,0
IGLC2,355.6,0
ATP5F1D,354.6,0
H3-3B,354.2,0
OTC,353.1,0
ACSM2A,350,0
NCOA4,348.6,0
RPL36AL,347.5,0
GOT1,346.8,0
ALDH1L1,345.7,0
UGT1A1,344.8,0
ATP5F1C,344.4,0
ACADM,343.6,0
CHCHD2,342.3,0
C4A,341.8,0
ZNHIT1,336.8,0
IGHG1,336.8,0
ACADSB,336.7,0
COX5A,336.6,0
ARL6IP1,336.2,0
HNRNPK,334.9,0
FDPS,332.6,0
RBP5,329.2,0
KRT8,327.7,0
ATP5IF1,323.3,0
CES2,323.2,0
ABAT,323.2,0
EHHADH,322.1,0
NDUFB7,321.8,0
NUPR1,321.6,0
HMGCL,321.5,0
SERPINA10,320,0
CYP3A5,319.4,0
MTHFD1,318.5,0
NDUFB9,318.3,0
CD59,317.1,0
ARF1,315.6,0
SLC25A5,314,0
HSPA5,314,0
SDHB,313.8,0
TFR2,313.5,0
APLP2,313.2,0
HNRNPC,313,0
PBLD,312.7,0
CTSL,311.6,0
EPHX2,311.3,0
DGAT2,309.8,0
HSD17B4,308.8,0
EBP,307.1,0
NADK2,306.9,0
KLKB1,306.8,0
COX6C,306.8,0
NDUFB2,305,0
OCIAD1,304.9,0
IGHA1,303.9,0
ELOB,303,0
APMAP,302.7,0
MZT2B,302.4,0
AKR1A1,302.3,0
BDH1,302,0
GOT2,300.5,0
SKP1,299.3,0
SDHC,298.6,0
FOS,297.9,0
PSMA2,297.8,0
NNMT,297.1,0
PNRC1,297,0
HMGB1,295.2,0
PXMP2,294.8,0
POR,292.8,0
CLDN1,289.7,0
YBX1,289.6,0
PSMB1,288.2,0
PCBP1,287.9,0
TAGLN2,287.4,0
SLC38A2,287.3,0
