GeneSymbol_Mouse,GeneSymbol_Human,Source,Daneman_Filter,In_Walchli_EC,In_Yang_EC,In_Winkler_EC,Human_BBB_Datasets_N
Btf3l4,BTF3L4,Daneman,lung_only,TRUE,FALSE,FALSE,1
Btg2,BTG2,Daneman,liver_only,TRUE,FALSE,FALSE,1
Bzw1,BZW1,Daneman,lung_only,TRUE,FALSE,FALSE,1
8430408G22Rik,C10ORF10,Daneman,liver_only,FALSE,FALSE,FALSE,0
2700094K13Rik,C11ORF31,Daneman,lung_only,FALSE,FALSE,FALSE,0
AI462493,C11ORF83,Daneman,lung_only,FALSE,FALSE,FALSE,0
Grcc10,C12ORF57,Daneman,lung_only,FALSE,FALSE,FALSE,0
2010107E04Rik,C14ORF2,Daneman,lung_only,FALSE,FALSE,FALSE,0
BC030336,C16ORF52,Daneman,liver_only,FALSE,FALSE,FALSE,0
AI467606,C16ORF54,Daneman,liver_and_lung,FALSE,FALSE,FALSE,0
AU021092,C16ORF89,Daneman,lung_only,FALSE,FALSE,FALSE,0
0610010K14Rik,C17ORF49,Daneman,lung_only,FALSE,FALSE,FALSE,0
2410015M20Rik,C19ORF70,Daneman,lung_only,FALSE,FALSE,FALSE,0
C130074G19Rik,C1ORF115,Munji,NA,FALSE,FALSE,FALSE,0
2810004N23Rik,C1ORF131,Munji,NA,FALSE,FALSE,FALSE,0
2310022B05Rik,C1ORF198,Munji,NA,FALSE,FALSE,FALSE,0
Gm694,C1ORF64,Munji,NA,FALSE,FALSE,FALSE,0
A130010J15Rik,C1ORF74,Munji,NA,FALSE,FALSE,FALSE,0
C1qbp,C1QBP,Daneman,lung_only,TRUE,FALSE,FALSE,1
3010026O09Rik,C5ORF45,Daneman,liver_only,FALSE,FALSE,FALSE,0
3110082I17Rik,C7ORF50,Daneman,lung_only,FALSE,FALSE,FALSE,0
1810011O10Rik,C8ORF4,Daneman,liver_only,FALSE,FALSE,FALSE,0
Car2,CA2,Daneman,lung_only,TRUE,FALSE,FALSE,1
Cab39l,CAB39L,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cables1,CABLES1,Daneman,liver_only,TRUE,FALSE,FALSE,1
Cabyr,CABYR,Munji,NA,TRUE,FALSE,FALSE,1
